row_num,owner_link,owner_link2,nft_id,value
55,<a href=https://debank.com/profile/0x8e77b367fe90d91b3f56be198ded811b74c82be3 target=_blank>👤 0x8e...2be3</a>,<a href=https://arbiscan.io/address/0x8e77b367fe90d91b3f56be198ded811b74c82be3 target=_blank>👤 0x8e...2be3</a>,"2359, 913",165545
56,<a href=https://debank.com/profile/0xa064b34dc0aeef23e48b400dc4b0a3f940b55865 target=_blank>👤 0xa0...5865</a>,<a href=https://arbiscan.io/address/0xa064b34dc0aeef23e48b400dc4b0a3f940b55865 target=_blank>👤 0xa0...5865</a>,1815,160720
57,<a href=https://debank.com/profile/0xe1880b5348fc0bad7a4d81cfdd0140cff530b174 target=_blank>👤 0xe1...b174</a>,<a href=https://arbiscan.io/address/0xe1880b5348fc0bad7a4d81cfdd0140cff530b174 target=_blank>👤 0xe1...b174</a>,"1302, 927, 1168",153334
58,<a href=https://debank.com/profile/0xa7ab43295a9bdde0d185049c45ed5ffa1758c190 target=_blank>👤 0xa7...c190</a>,<a href=https://arbiscan.io/address/0xa7ab43295a9bdde0d185049c45ed5ffa1758c190 target=_blank>👤 0xa7...c190</a>,1492,140647
59,<a href=https://debank.com/profile/0x4cd34f7ea5412cfdcf382139786b44eb63617701 target=_blank>👤 0x4c...7701</a>,<a href=https://arbiscan.io/address/0x4cd34f7ea5412cfdcf382139786b44eb63617701 target=_blank>👤 0x4c...7701</a>,"1799, 1105, 2138",140633
60,<a href=https://debank.com/profile/0x2f0d21d91ed0367a8a1b40fe9176da3175b4a4e7 target=_blank>👤 0x2f...a4e7</a>,<a href=https://arbiscan.io/address/0x2f0d21d91ed0367a8a1b40fe9176da3175b4a4e7 target=_blank>👤 0x2f...a4e7</a>,2152,129424
61,<a href=https://debank.com/profile/0x2ba838e42126ac349d01c3d1fac85a36266151a4 target=_blank>👤 0x2b...51a4</a>,<a href=https://arbiscan.io/address/0x2ba838e42126ac349d01c3d1fac85a36266151a4 target=_blank>👤 0x2b...51a4</a>,82,125621
62,<a href=https://debank.com/profile/0x0578fe63a40dd249b853487dae3c9eb01957628e target=_blank>👤 0x05...628e</a>,<a href=https://arbiscan.io/address/0x0578fe63a40dd249b853487dae3c9eb01957628e target=_blank>👤 0x05...628e</a>,826,123513
63,<a href=https://debank.com/profile/0x93bf27a3512f28a4ce66ebd0bc0fc8dfd0602448 target=_blank>👤 0x93...2448</a>,<a href=https://arbiscan.io/address/0x93bf27a3512f28a4ce66ebd0bc0fc8dfd0602448 target=_blank>👤 0x93...2448</a>,1375,115894
64,<a href=https://debank.com/profile/0xa4a62f7127c644aaef733029e0d052e411fdafb4 target=_blank>👤 0xa4...afb4</a>,<a href=https://arbiscan.io/address/0xa4a62f7127c644aaef733029e0d052e411fdafb4 target=_blank>👤 0xa4...afb4</a>,"163, 2536, 2535, 2534, 2533, 2532, 2531, 2530, 2560, 2559, 2558, 2557, 2556, 2555, 2554, 2553, 2552, 2551, 2550, 2549, 2548, 2547, 2546, 2545, 2544, 2543, 2542, 2541, 2540, 2539, 2538, 2537",107193
65,<a href=https://debank.com/profile/0x44ad3ab3770fe6cf15c8dc64141bc79fc1a94d72 target=_blank>👤 0x44...4d72</a>,<a href=https://arbiscan.io/address/0x44ad3ab3770fe6cf15c8dc64141bc79fc1a94d72 target=_blank>👤 0x44...4d72</a>,2627,106037
